Order,PID,MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Lot_Shape,Land_Contour,Utilities,Lot_Config,Land_Slope,Condition_1,Condition_2,House_Style,Overall_Qual,Overall_Cond,Year_Built,Year_Remod/Add,Roof_Style,Roof_Matl,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Foundation,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,Electrical,1st_Flr_SF,2nd_Flr_SF,Low_Qual_Fin_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Functional,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Yr_Blt,Garage_Finish,Garage_Cars,Garage_Area,Garage_Qual,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,3Ssn_Porch,Screen_Porch,Pool_Area,Pool_QC,Fence,Misc_Feature,Misc_Val,Mo_Sold,Yr_Sold,Sale_Type,Sale_Condition,SalePrice,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Bldg_Type_2fmCon,Bldg_Type_Duplex,Bldg_Type_Twnhs,Bldg_Type_TwnhsE,Gr_Liv_Area_scaled,SalePrice_scaled,price_per_sqft,quality_area,SalePrice_log,house_age,age_group
947,914465020,60,RL,75.0,10125,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,2Story,8,5,2000,2001,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,TA,PConc,Gd,TA,No,ALQ,445.0,BLQ,250.0,412.0,1107.0,GasA,Ex,Y,SBrkr,1040,1012,0,2052,0.0,0.0,2,1,3,1,Gd,7,Typ,1,TA,BuiltIn,2000.0,Fin,3.0,642.0,TA,TA,Y,210,91,0,0,0,0,,,,0,5,2009,WD ,Normal,251000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0927677928403647,0.9340230118218977,122.26010716025328,16416,12.433212202169729,25,Mid
948,914465040,50,RL,48.0,12822,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,TA,PConc,Ex,TA,No,GLQ,1351.0,Unf,0.0,83.0,1434.0,GasA,Ex,Y,SBrkr,1518,631,0,2149,1.0,0.0,1,1,1,1,Gd,6,Typ,1,Ex,Attchd,2003.0,RFn,2.0,670.0,TA,TA,Y,168,43,0,0,198,0,,,,0,8,2009,WD ,Abnorml,239686.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.2846863911947524,0.7852751767470888,111.48186046511628,15043,12.387089184491993,22,Mid
949,914465055,20,RL,43.0,12118,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Story,7,5,2004,2005,Hip,CompShg,VinylSd,VinylSd,Stone,108.0,4,TA,PConc,Ex,TA,Mn,Unf,0.0,Unf,0.0,1710.0,1710.0,GasA,Ex,Y,SBrkr,1710,0,0,1710,0.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2004.0,Fin,2.0,550.0,TA,TA,Y,100,48,0,0,180,0,,,,0,4,2009,WD ,Normal,240000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4161063429723171,0.7894034090445512,140.26884862653418,11970,12.388398368982115,21,Mid
950,914474070,60,RL,71.0,12209,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,2Story,6,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,TA,PConc,Ex,TA,No,ALQ,690.0,Unf,0.0,114.0,804.0,GasA,Ex,Y,SBrkr,804,1157,0,1961,1.0,0.0,2,1,3,1,Gd,7,Typ,1,TA,BuiltIn,2001.0,Fin,2.0,560.0,TA,TA,Y,125,192,0,0,0,0,,,,0,6,2009,WD ,Normal,215000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9127204479924339,0.46072249364149087,109.58205912334353,11766,12.278397958261774,24,Mid
951,914475010,85,RL,75.0,9750,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,SFoyer,6,6,1977,1977,Gable,CompShg,Plywood,Plywood,None,0.0,3,TA,CBlock,TA,TA,Av,ALQ,767.0,Unf,0.0,135.0,902.0,GasA,Ex,Y,SBrkr,926,0,0,926,1.0,0.0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1977.0,Unf,1.0,351.0,TA,TA,Y,319,0,0,0,0,0,,MnPrv,,0,4,2009,WD ,Normal,156450.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.1350707818713943,-0.3090482102324764,168.77022653721684,5556,11.960498140895073,48,Old
952,914475030,85,RL,72.0,9360,Pave,Reg,Bnk,AllPub,Inside,Gtl,Norm,Norm,SFoyer,6,7,1977,1977,Gable,CompShg,Plywood,Plywood,None,0.0,3,TA,CBlock,Gd,TA,Av,GLQ,841.0,LwQ,116.0,0.0,957.0,GasA,TA,Y,SBrkr,1287,0,0,1287,1.0,0.0,1,1,2,1,TA,5,Typ,2,Fa,Attchd,1977.0,RFn,2.0,541.0,TA,TA,Y,302,39,0,0,120,0,,GdWo,,0,11,2009,WD ,Normal,173000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.4208170292328997,-0.09146144423565049,134.3167701863354,7722,12.06105265381003,48,Old
953,914476020,90,RL,75.0,10125,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1.5Fin,5,5,1977,1977,Gable,CompShg,Plywood,Plywood,None,0.0,3,TA,CBlock,,,,,0.0,,0.0,0.0,0.0,GasA,TA,Y,SBrkr,1302,432,0,1734,0.0,0.0,2,0,4,2,Gd,8,Typ,0,,Attchd,1977.0,Unf,2.0,539.0,TA,TA,Y,0,0,0,0,0,0,,,,0,8,2009,COD,Normal,126000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.46359135699814497,-0.7093815651934039,72.62247838616715,8670,11.744045122410057,48,Old
954,914476380,80,RL,68.0,9947,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,SLvl,7,5,1990,1991,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,TA,PConc,Gd,TA,Av,GLQ,611.0,Unf,0.0,577.0,1188.0,GasA,Ex,Y,SBrkr,1217,0,0,1217,1.0,0.0,2,0,3,1,Gd,6,Typ,0,,Attchd,1990.0,Unf,2.0,497.0,TA,TA,Y,168,27,0,0,0,0,,GdPrv,,0,6,2009,WD ,Normal,173000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.5593149868082311,-0.09146144423565049,142.0361247947455,8519,12.06105265381003,35,Old
955,914476430,20,RL,82.0,11070,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Story,5,5,1991,1991,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,TA,PConc,Gd,TA,No,BLQ,55.0,Unf,0.0,1527.0,1582.0,GasA,TA,Y,SBrkr,1595,0,0,1595,1.0,0.0,2,0,2,1,TA,5,Typ,0,,Detchd,1991.0,Unf,2.0,672.0,TA,TA,Y,0,0,0,0,0,0,,,,0,4,2009,COD,Abnorml,152000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.18857398409855838,-0.3675534131742212,95.23809523809524,7975,11.931642378754141,34,Old
956,916176030,20,RL,68.0,14375,Pave,IR1,Lvl,NoSeWa,CulDSac,Gtl,Norm,Norm,SLvl,6,6,1958,1958,Gable,CompShg,HdBoard,HdBoard,BrkFace,541.0,3,TA,CBlock,TA,TA,No,GLQ,111.0,Rec,354.0,354.0,819.0,GasA,Gd,Y,FuseA,1344,0,0,1344,0.0,1.0,1,0,3,1,Gd,7,Typ,1,Gd,Basment,1958.0,RFn,2.0,525.0,TA,TA,Y,0,118,0,0,233,0,,,,0,1,2009,COD,Abnorml,137500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-0.3080401209215584,-0.5581883441079961,102.23048327137546,8064,11.83138646878959,67,Old
957,916176125,20,RL,150.0,215245,Pave,IR3,Low,AllPub,Inside,Sev,Norm,Norm,1Story,7,5,1965,1965,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,TA,CBlock,Gd,TA,Gd,ALQ,1236.0,Rec,820.0,80.0,2136.0,GasW,TA,Y,SBrkr,2036,0,0,2036,2.0,0.0,2,0,3,1,TA,8,Typ,2,Gd,Attchd,1965.0,RFn,2.0,513.0,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2009,WD ,Normal,375000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1.0611111168231462,2.564280352221077,184.0942562592047,14252,12.834683971615659,60,Old
958,916380070,20,RL,89.0,12898,Pave,IR1,HLS,AllPub,Inside,Gtl,Norm,Norm,1Story,9,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,70.0,4,TA,PConc,Ex,TA,Gd,GLQ,1022.0,Unf,0.0,598.0,1620.0,GasA,Ex,Y,SBrkr,1620,0,0,1620,1.0,0.0,2,0,2,1,Ex,6,Typ,1,Ex,Attchd,2008.0,Fin,3.0,912.0,TA,TA,Y,228,0,0,0,0,0,,,,0,9,2009,WD ,Normal,315500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.23803754037546246,1.7820197735617935,194.6329426280074,14580,12.66191713053049,18,Mid
959,916382010,60,RL,83.0,13159,Pave,IR1,HLS,AllPub,Corner,Gtl,Norm,Norm,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,846.0,846.0,GasA,Gd,Y,SBrkr,846,846,0,1692,0.0,0.0,2,1,3,1,Gd,6,Typ,0,,Attchd,2009.0,RFn,2.0,650.0,TA,TA,Y,208,114,0,0,0,0,,,,0,7,2009,New,Partial,224500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.38049258245294615,0.5856212414946538,132.60484347312462,11844,12.32163544049751,16,Mid
960,916382100,20,RL,113.0,13438,Pave,IR1,HLS,AllPub,Corner,Gtl,Norm,Norm,1Story,9,5,2008,2008,Gable,CompShg,CemntBd,CmentBd,Stone,246.0,5,TA,CBlock,Ex,TA,Gd,GLQ,1758.0,Unf,0.0,432.0,2190.0,GasA,Ex,Y,SBrkr,2036,0,0,2036,1.0,0.0,2,0,3,1,Ex,9,Typ,1,Ex,Attchd,2008.0,Fin,3.0,780.0,TA,TA,Y,90,154,0,0,0,0,,,,0,7,2009,WD ,Normal,410000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1.0611111168231462,3.0244336337853617,201.27638684339715,18324,12.923914877701906,17,Mid
961,916382110,20,RL,79.0,14463,Pave,IR1,HLS,AllPub,Corner,Gtl,Norm,Norm,1Story,9,5,2008,2008,Gable,CompShg,CemntBd,CmentBd,BrkFace,406.0,5,TA,PConc,Ex,TA,Gd,GLQ,1115.0,Unf,0.0,526.0,1641.0,GasA,Ex,Y,SBrkr,1641,0,0,1641,1.0,0.0,2,0,3,1,Ex,7,Typ,0,,Attchd,2008.0,Fin,3.0,885.0,TA,TA,Y,0,95,0,0,0,0,,,,0,1,2009,WD ,Normal,316500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.27958692764806187,1.7951670101779158,192.75274056029232,14769,12.66508168011904,17,Mid
962,916386140,20,RL,73.0,8925,Pave,IR1,HLS,AllPub,Inside,Gtl,Norm,Norm,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,TA,PConc,Gd,TA,Av,GLQ,16.0,Unf,0.0,1450.0,1466.0,GasA,Ex,Y,SBrkr,1466,0,0,1466,0.0,0.0,2,0,3,1,Gd,7,Typ,0,,Attchd,2007.0,Fin,3.0,610.0,TA,TA,Y,100,18,0,0,0,0,,,,0,7,2009,WD ,Normal,201000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-0.06665796629026659,0.2766611810157771,137.01431492842536,11728,12.211065162153215,18,Mid
963,916403010,20,RL,130.0,11457,Pave,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Story,6,5,1988,1988,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,TA,CBlock,Gd,TA,Mn,GLQ,1005.0,Unf,0.0,387.0,1392.0,GasA,TA,Y,SBrkr,1412,0,0,1412,1.0,0.0,2,0,3,1,Gd,6,Typ,1,TA,Attchd,1988.0,Unf,2.0,576.0,TA,TA,Y,0,0,169,0,0,0,,,,0,3,2009,WD ,Normal,175000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-0.17349924784837936,-0.06516697100340565,123.84996461429583,8472,12.07254696717504,37,Old
964,916403200,60,RL,68.0,9839,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,2Story,6,8,1980,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,Gd,PConc,Gd,TA,No,ALQ,462.0,Unf,0.0,250.0,712.0,GasA,Ex,Y,SBrkr,1375,862,0,2237,0.0,0.0,2,1,3,1,Gd,7,Typ,1,TA,BuiltIn,1980.0,Fin,2.0,440.0,TA,TA,Y,305,24,0,0,0,0,,,Shed,2500,2,2009,WD ,Normal,204000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1.4587981092894546,0.31610289086414434,91.15281501340482,13422,12.225880174775122,45,Old
965,916403250,80,RL,125.0,14419,Pave,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,SLvl,7,5,1987,1989,Hip,CompShg,Plywood,Plywood,BrkFace,310.0,3,TA,PConc,Gd,TA,Gd,GLQ,904.0,ALQ,624.0,117.0,1645.0,GasA,Ex,Y,SBrkr,1479,0,0,1479,2.0,0.0,2,1,3,1,Gd,7,Min1,1,Fa,Attchd,1987.0,Fin,2.0,578.0,TA,TA,Y,224,238,0,0,0,0,,,,0,7,2009,WD ,Normal,213500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-0.04093691702627647,0.44100163871730724,144.25675675675674,10353,12.271396795480596,38,Old
966,916455070,20,RL,68.0,6853,Pave,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Story,8,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,136.0,4,TA,PConc,Ex,TA,No,GLQ,1005.0,Unf,0.0,262.0,1267.0,GasA,Ex,Y,SBrkr,1296,0,0,1296,1.0,0.0,2,0,2,1,Gd,6,Typ,0,,Attchd,2001.0,Fin,2.0,471.0,TA,TA,Y,192,25,0,0,0,0,,,,0,6,2009,WD ,Normal,220000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-0.40301014897321424,0.5264586767221029,169.62220508866616,10368,12.301387370778713,24,Mid
967,916460110,60,RL,75.0,9157,Pave,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,912.0,912.0,GasA,Ex,Y,SBrkr,1072,942,0,2014,0.0,0.0,2,1,3,1,Gd,9,Typ,0,,Attchd,2003.0,Fin,2.0,486.0,TA,TA,Y,124,114,0,0,0,0,,,,0,2,2009,WD ,Abnorml,170000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1.0175831872994705,-0.13090315408401773,84.36724565756823,14098,12.04355959836804,22,Mid
968,916475040,20,RL,85.0,14601,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Story,9,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,584.0,5,TA,PConc,Ex,TA,Av,GLQ,1260.0,Unf,0.0,578.0,1838.0,GasA,Ex,Y,SBrkr,1838,0,0,1838,1.0,0.0,2,0,2,1,Ex,8,Typ,1,Gd,Attchd,2006.0,Fin,3.0,765.0,TA,TA,Y,270,68,0,0,0,0,,,,0,3,2009,WD ,Normal,315000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.6693597511100658,1.7754461552537322,171.28874388254485,16542,12.660331092405906,19,Mid
969,921128050,20,RL,85.0,12633,Pave,IR1,HLS,AllPub,Inside,Gtl,Norm,Norm,1Story,9,5,2007,2007,Hip,CompShg,CemntBd,CmentBd,Stone,290.0,5,TA,PConc,Ex,TA,Gd,GLQ,1640.0,Unf,0.0,338.0,1978.0,GasA,Ex,Y,SBrkr,1978,0,0,1978,1.0,0.0,2,0,2,1,Ex,7,Typ,1,Gd,Attchd,2007.0,Fin,3.0,920.0,TA,TA,Y,308,52,0,0,0,0,,,,0,5,2009,WD ,Normal,425000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.9463556662607286,3.2216421830271975,214.75492673067205,17802,12.959846800844963,18,Mid
970,923201100,20,RL,75.0,12518,Pave,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Story,5,7,1968,1968,Gable,CompShg,HdBoard,HdBoard,BrkFace,182.0,3,TA,CBlock,TA,TA,No,ALQ,532.0,Unf,0.0,476.0,1008.0,GasA,Gd,Y,SBrkr,1008,0,0,1008,0.0,0.0,1,0,3,1,Gd,6,Typ,0,,Attchd,1968.0,Unf,1.0,384.0,TA,TA,Y,144,0,0,0,0,0,,MnPrv,,0,4,2009,WD ,Normal,139500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.9728303172831491,-0.5318938708757514,138.25569871159564,5040,11.845827048676645,57,Old
971,923202060,20,RL,100.0,21750,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Story,5,4,1960,2006,Hip,CompShg,HdBoard,HdBoard,BrkFace,75.0,3,Fa,Slab,,,,,0.0,,0.0,0.0,0.0,GasA,TA,Y,SBrkr,1771,0,0,1771,0.0,0.0,1,0,3,1,TA,9,Min1,1,TA,Attchd,1960.0,Unf,2.0,336.0,TA,TA,Y,0,0,0,0,0,0,,GdPrv,,0,11,2009,WD ,Normal,115000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.536797420287963,-0.8540011679707504,64.89841986455981,8855,11.652696102959753,65,Old
972,923203110,120,RM,32.0,4500,Pave,Reg,Lvl,AllPub,FR2,Gtl,Norm,Norm,1Story,6,5,1998,1998,Hip,CompShg,VinylSd,VinylSd,BrkFace,320.0,3,TA,PConc,Ex,TA,No,GLQ,866.0,Unf,0.0,338.0,1204.0,GasA,Ex,Y,SBrkr,1204,0,0,1204,1.0,0.0,2,0,2,1,TA,5,Typ,0,,Attchd,1998.0,Fin,2.0,412.0,TA,TA,Y,0,247,0,0,0,0,,,,0,6,2009,WD ,Normal,162000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-0.5850360360722212,-0.23608104701299704,134.43983402489627,7224,11.995357787034976,27,Mid
973,923203190,120,RM,68.0,4500,Pave,Reg,Lvl,AllPub,FR2,Gtl,Norm,Norm,1Story,6,5,1999,1999,Hip,CompShg,VinylSd,VinylSd,BrkFace,425.0,3,TA,PConc,Ex,TA,No,GLQ,883.0,Unf,0.0,341.0,1224.0,GasA,Ex,Y,SBrkr,1224,0,0,1224,1.0,0.0,2,0,2,1,TA,5,Typ,0,,Attchd,1999.0,Fin,2.0,402.0,TA,TA,Y,0,304,0,0,0,0,,,,0,6,2009,WD ,Normal,165000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-0.5454651910506979,-0.1966393371646298,134.69387755102042,7344,12.013706813470414,26,Mid
974,923225360,180,RM,21.0,1596,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,SLvl,4,5,1973,1973,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,TA,CBlock,Gd,TA,Gd,GLQ,462.0,Unf,0.0,0.0,462.0,GasA,TA,Y,SBrkr,526,462,0,988,1.0,0.0,1,0,2,1,TA,5,Typ,0,,BuiltIn,1973.0,Unf,1.0,297.0,TA,TA,Y,120,101,0,0,0,0,,GdWo,,0,11,2009,WD ,Normal,91000.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-1.0124011623046723,-1.1695348467576885,92.01213346814964,3952,11.418625774449598,52,Old
975,923225490,20,RL,62.0,9858,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Story,5,6,1968,1968,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,TA,CBlock,TA,TA,No,BLQ,510.0,Unf,0.0,354.0,864.0,GasA,TA,Y,SBrkr,874,0,0,874,1.0,0.0,1,0,3,1,TA,5,Typ,0,,Attchd,1968.0,RFn,1.0,288.0,TA,TA,Y,33,0,0,0,0,0,,GdWo,Shed,600,11,2009,WD ,Normal,130000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.2379549789273547,-0.6567926187289143,148.57142857142858,4370,11.775297421715827,57,Old
976,923226270,180,RM,21.0,1526,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,SFoyer,4,8,1970,2002,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,Gd,CBlock,Gd,TA,Av,GLQ,515.0,Unf,0.0,115.0,630.0,GasA,TA,Y,SBrkr,630,0,0,630,1.0,0.0,1,0,1,1,Gd,3,Typ,0,,Attchd,1970.0,Unf,1.0,286.0,TA,TA,Y,0,0,0,0,0,0,,,,0,5,2009,WD ,Normal,86000.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-1.7207192881899385,-1.2352710298383005,136.2916006339144,2520,11.362114203075018,55,Old
977,923227080,20,RL,83.0,13383,Pave,IR1,Lvl,AllPub,Inside,Mod,Norm,Norm,1Story,5,5,1969,2000,Hip,CompShg,HdBoard,HdBoard,BrkFace,176.0,3,TA,CBlock,TA,TA,No,BLQ,594.0,Unf,0.0,594.0,1188.0,GasA,Ex,Y,SBrkr,1404,0,0,1404,0.0,0.0,2,0,3,1,TA,7,Typ,1,Po,Attchd,1969.0,Unf,2.0,504.0,TA,TA,Y,0,16,0,0,0,0,,,,0,3,2009,WD ,Normal,160000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.18932758585698867,-0.26237552024524186,113.87900355871886,7020,11.982935344196433,56,Old
978,923228110,180,RM,21.0,1477,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,SFoyer,4,4,1970,1970,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,TA,CBlock,Gd,TA,Av,GLQ,509.0,Unf,0.0,121.0,630.0,GasA,TA,Y,SBrkr,630,0,0,630,1.0,0.0,1,0,1,1,TA,3,Typ,0,,Attchd,1970.0,Unf,1.0,286.0,TA,TA,Y,0,0,0,0,0,0,,,,0,4,2009,WD ,Normal,80000.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-1.7207192881899385,-1.314154449535035,126.78288431061807,2520,11.289794413577894,55,Old
979,923228150,160,RM,21.0,1533,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,2Story,4,6,1970,2008,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,546.0,546.0,GasA,TA,Y,SBrkr,798,546,0,1344,0.0,0.0,1,1,3,1,TA,6,Typ,1,TA,,,,0.0,0.0,,,Y,0,0,0,0,0,0,,,,0,5,2009,WD ,Normal,97000.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.3080401209215584,-1.090651427060954,72.11895910780669,5376,11.48247656671073,55,Old
980,923228230,160,RM,21.0,2217,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,2Story,4,4,1970,1970,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,TA,CBlock,TA,TA,No,BLQ,273.0,LwQ,273.0,0.0,546.0,GasA,TA,Y,SBrkr,546,546,0,1092,0.0,0.0,1,1,3,1,TA,6,Typ,0,,Attchd,1970.0,RFn,1.0,286.0,TA,TA,Y,238,0,0,0,0,0,,,,0,8,2009,WD ,Normal,88000.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-0.8066327681927514,-1.2089765566060557,80.51235132662397,4368,11.385103457032141,55,Old
